date,total_upt,city
2023-01-01,18165500,Vancouver (Translink)
2023-02-01,16488200,Vancouver (Translink)
2023-03-01,19534000,Vancouver (Translink)
2023-04-01,17858200,Vancouver (Translink)
2023-05-01,20111100,Vancouver (Translink)
2023-06-01,19831500,Vancouver (Translink)
2023-07-01,20021700,Vancouver (Translink)
2023-08-01,19738400,Vancouver (Translink)
2023-09-01,20938900,Vancouver (Translink)
2023-10-01,20824000,Vancouver (Translink)
2023-11-01,20331800,Vancouver (Translink)
2023-12-01,18148100,Vancouver (Translink)
2024-01-01,17598400,Vancouver (Translink)
2024-02-01,18964600,Vancouver (Translink)
2024-03-01,19934600,Vancouver (Translink)
2024-04-01,20146000,Vancouver (Translink)
2024-05-01,21030200,Vancouver (Translink)
2024-06-01,19952000,Vancouver (Translink)
2024-07-01,21035500,Vancouver (Translink)
2024-08-01,19917600,Vancouver (Translink)
2024-09-01,20706700,Vancouver (Translink)
2024-10-01,21380800,Vancouver (Translink)
2024-11-01,20005500,Vancouver (Translink)
2024-12-01,18692800,Vancouver (Translink)
2025-01-01,19888300,Vancouver (Translink)
2025-02-01,17486300,Vancouver (Translink)
2025-03-01,19934600,Vancouver (Translink)
2025-04-01,19953300,Vancouver (Translink)
2025-05-01,20287600,Vancouver (Translink)
2025-06-01,19915800,Vancouver (Translink)
2025-07-01,20758200,Vancouver (Translink)
2025-08-01,19238000,Vancouver (Translink)
2025-09-01,20328500,Vancouver (Translink)
2025-10-01,20666300,Vancouver (Translink)
2025-11-01,18970900,Vancouver (Translink)
